Systime,Date,Time,OutsideAirTemperature (°C),LocalizerDeviation (-1..1),GlideslopeDeviation (-1..1),FlightDirectorOn_Off,AutopilotMode,GroundSpeed (kts),GroundTrack (°M),CrossTrackDeviation (nm),VerticalDeviation (ft),AltimeterSetting (in.hg),AltBug (ft),VSIBug (ft/min),HdgBug (°),DisplayMode,NavigationMode,ActiveWptId,GPSSelect    ,NavaidBrg (°M),OBS (°M),DesiredTrack (°M),NavFreq (kHz),CrsSelect    ,NavType      ,CourseDeviation (°),GPSAltitude (m),DistanceToActiveWpt (nm),GPSState,GPSHorizProtLimit (m),GPSVertProtLimit (m),HPL_SBAS (m),VPL_SBAS (m),HFOM (m),VFOM (m),FmsCourse (°M),MagVar (° -W/+E),GPS MSL Altitude (m),GPS AGL Height (m),FLTA RTC (m),FLTA ATC (m),FLTA vspd (fpm),FLTA RTC dist (m),FLTA terr dist (m),FLTA Status
69792837,20170224,19:23:12,13,0.000,0.000,0,-,6,173,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-9,0,0,0x3
69793629,20170224,19:23:13,13,0.000,0.000,0,-,6,172,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-10,0,0,0x3
69794421,20170224,19:23:14,13,0.000,0.000,0,-,6,172,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-11,0,0,0x3
69795213,20170224,19:23:15,13,0.000,0.000,0,-,6,170,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-10,0,0,0x3
69796005,20170224,19:23:16,13,0.000,0.000,0,-,6,170,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-12,0,0,0x3
69796797,20170224,19:23:16,13,0.000,0.000,0,-,6,170,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,154,0,0,0,-11,0,0,0x3
69797589,20170224,19:23:17,13,0.000,0.000,0,-,6,169,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,154,0,0,0,-12,0,0,0x3
69798381,20170224,19:23:18,13,0.000,0.000,0,-,6,172,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,154,0,0,0,-13,0,0,0x3
69799173,20170224,19:23:19,13,0.000,0.000,0,-,6,175,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,154,-1,0,0,-15,0,0,0x3
69799965,20170224,19:23:19,13,0.000,0.000,0,-,6,177,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.2,0.0,0.0,15.1,20.3,0,12.5,154,-1,0,0,-13,0,0,0x3
